Agency Name,Position Title,YTD Gross Pay,Cluster
AGRICULTURE,ACCOUNTANT,55819.64,1
AGRICULTURE,ACCOUNTS SUPERVISOR,59947.1,1
AGRICULTURE,ACCOUNTS SUPERVISOR,8010.72,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,13880.7,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,10455.1,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,38538.66,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,10796.1,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,35761.14,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,42323.83,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,17747.02,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,28243.77,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,19274.72,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,37191.79,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,4483.44,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,15913.17,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,40198.8,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,6057.03,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,1588.3,1
AGRICULTURE,ADMIN SUPPORT ASSISTANT,9841.53,1
AGRICULTURE,ADMIN SUPPORT PROFESSIONAL,48263.19,1
AGRICULTURE,ADMIN SUPPORT PROFESSIONAL,33395.87,1
AGRICULTURE,ADMIN SUPPORT PROFESSIONAL,52325.72,1
AGRICULTURE,ADMIN SUPPORT PROFESSIONAL,60659.82,1
AGRICULTURE,ADMIN SUPPORT PROFESSIONAL,55756.13,1
AGRICULTURE,ADMIN SUPPORT PROFESSIONAL,46775.9,1
AGRICULTURE,ADMIN SUPPORT PROFESSIONAL,42451.73,1
AGRICULTURE,ADMIN SUPPORT PROFESSIONAL,48735.43,1
AGRICULTURE,ADMIN SUPPORT PROFESSIONAL,50468.07,1
AGRICULTURE,ADMIN SUPPORT PROFESSIONAL,59458.13,1
AGRICULTURE,ADMIN SUPPORT PROFESSIONAL,55144.32,1
AGRICULTURE,ADMIN SUPPORT PROFESSIONAL,16333.8,1
AGRICULTURE,ADMINISTRATIVE MANAGER,62537.32,1
AGRICULTURE,ADMINISTRATIVE MANAGER,66927.58,1
AGRICULTURE,ADMINISTRATIVE MANAGER,29166.69,1
AGRICULTURE,ADMINISTRATIVE SUPPORT CLERK,18610.52,1
AGRICULTURE,ADMINISTRATIVE SUPPORT CLERK,22046.87,1
AGRICULTURE,AGENCY BUDGET SENIOR ANALYST,25214.35,1
AGRICULTURE,AGENCY BUDGET SPECIALIST,66557.29,1
AGRICULTURE,AGRIBUSINESS MANAGER,51149.77,1
AGRICULTURE,AGRIBUSINESS MANAGER,84426.83,1
AGRICULTURE,AGRIBUSINESS MANAGER,75018.93,1
AGRICULTURE,AGRIBUSINESS MANAGER,75066.23,1
